Category,Base_Image,Noise_Params,Filter_Type,MSE_Score
landscape,color,Gauss_lvl1,mean,194.8288
landscape,color,Gauss_lvl1,median,185.4499
landscape,color,Gauss_lvl1,min,1153.5632
landscape,color,Gauss_lvl1,max,1196.3578
landscape,color,Gauss_lvl2,mean,297.6880
landscape,color,Gauss_lvl2,median,323.9131
landscape,color,Gauss_lvl2,min,2354.7189
landscape,color,Gauss_lvl2,max,2631.5449
landscape,color,SP_lvl1,mean,223.1613
landscape,color,SP_lvl1,median,160.5213
landscape,color,SP_lvl1,min,2297.3293
landscape,color,SP_lvl1,max,2754.6929
landscape,color,SP_lvl2,mean,301.9611
landscape,color,SP_lvl2,median,168.6230
landscape,color,SP_lvl2,min,4248.1775
landscape,color,SP_lvl2,max,5225.5042
landscape,gray,Gauss_lvl1,mean,200.7210
landscape,gray,Gauss_lvl1,median,201.4485
landscape,gray,Gauss_lvl1,min,1436.2106
landscape,gray,Gauss_lvl1,max,1481.7843
landscape,gray,Gauss_lvl2,mean,343.1228
landscape,gray,Gauss_lvl2,median,436.3671
landscape,gray,Gauss_lvl2,min,3947.2157
landscape,gray,Gauss_lvl2,max,4459.2682
landscape,gray,SP_lvl1,mean,223.8560
landscape,gray,SP_lvl1,median,160.2939
landscape,gray,SP_lvl1,min,2340.7077
landscape,gray,SP_lvl1,max,2861.4571
landscape,gray,SP_lvl2,mean,304.1972
landscape,gray,SP_lvl2,median,167.9721
landscape,gray,SP_lvl2,min,4371.1147
landscape,gray,SP_lvl2,max,5429.4231
portrait,color,Gauss_lvl1,mean,60.1327
portrait,color,Gauss_lvl1,median,65.3080
portrait,color,Gauss_lvl1,min,509.4205
portrait,color,Gauss_lvl1,max,462.9149
portrait,color,Gauss_lvl2,mean,161.5862
portrait,color,Gauss_lvl2,median,203.4598
portrait,color,Gauss_lvl2,min,2204.3066
portrait,color,Gauss_lvl2,max,1842.2524
portrait,color,SP_lvl1,mean,82.8214
portrait,color,SP_lvl1,median,39.4347
portrait,color,SP_lvl1,min,2739.2988
portrait,color,SP_lvl1,max,742.1259
portrait,color,SP_lvl2,mean,151.1912
portrait,color,SP_lvl2,median,41.0869
portrait,color,SP_lvl2,min,6188.3705
portrait,color,SP_lvl2,max,1534.8359
portrait,gray,Gauss_lvl1,mean,65.8481
portrait,gray,Gauss_lvl1,median,78.1425
portrait,gray,Gauss_lvl1,min,809.7748
portrait,gray,Gauss_lvl1,max,751.0025
portrait,gray,Gauss_lvl2,mean,210.9441
portrait,gray,Gauss_lvl2,median,309.0528
portrait,gray,Gauss_lvl2,min,4369.6071
portrait,gray,Gauss_lvl2,max,3500.1416
portrait,gray,SP_lvl1,mean,84.3604
portrait,gray,SP_lvl1,median,39.2702
portrait,gray,SP_lvl1,min,2830.0082
portrait,gray,SP_lvl1,max,786.2431
portrait,gray,SP_lvl2,mean,152.1442
portrait,gray,SP_lvl2,median,40.7884
portrait,gray,SP_lvl2,min,6303.2410
portrait,gray,SP_lvl2,max,1597.8495
